imdb_id,category,tag_name,occurrence_cnt,duration_sec
tt0052357,language,blasphemy,1,0
tt0052357,violence,non_graphic,5,30
tt0052357,violence,disturbing_images,1,0
tt0052357,immodesty,immodesty,1,6
tt0052357,immodesty,nudity_implied,1,30
tt0052357,sexual,kissing_normal,13,108
tt0052357,drugs,drugs_legal,14,36
tt0052357,drugs,drugs_implied,1,6
tt0054215,language,blasphemy,1,0
tt0054215,language,sexual_reference,1,6
tt0054215,violence,non_graphic,2,24
tt0054215,violence,graphic,8,96
tt0054215,violence,disturbing_images,2,54
tt0054215,immodesty,immodesty,4,24
tt0054215,immodesty,nudity_without_sex,2,24
tt0054215,immodesty,nudity_implied,2,84
tt0054215,sexual,kissing_passion,2,18
tt0054215,sexual,sex_implied,1,114
tt0054215,other,objectionable,2,18
tt0054698,language,profanity,3,0
tt0054698,language,blasphemy,1,0
tt0054698,language,sexual_reference,4,18
tt0054698,violence,non_graphic,2,0
tt0054698,immodesty,immodesty,4,42
tt0054698,immodesty,nudity_art,2,12
tt0054698,immodesty,nudity_implied,1,18
tt0054698,sexual,sexually_suggestive,2,66
tt0054698,sexual,kissing_normal,4,24
tt0054698,sexual,kissing_passion,2,18
tt0054698,drugs,drugs_legal,59,288
tt0054698,drugs,drugs_implied,2,12
tt0056592,language,profanity,1,6
tt0056592,language,blasphemy,7,0
tt0056592,language,sexual_reference,1,6
tt0056592,language,racial_slurs,10,30
tt0056592,violence,non_graphic,10,78
tt0056592,immodesty,immodesty,1,6
tt0056592,sexual,sexual_assault,7,36
tt0056592,drugs,drugs_legal,9,102
tt0056592,other,bodily_functions,4,12
tt0056923,language,profanity,1,0
tt0056923,language,blasphemy,4,6
tt0056923,language,sexual_reference,4,6
tt0056923,language,childish_language,8,30
tt0056923,language,racial_slurs,1,36
tt0056923,violence,non_graphic,16,180
tt0056923,violence,graphic,8,30
tt0056923,violence,disturbing_images,6,36
tt0056923,violence,violence_implied,8,24
tt0056923,immodesty,immodesty,12,102
tt0056923,immodesty,nudity_art,1,0
tt0056923,sexual,sexually_suggestive,2,144
tt0056923,sexual,kissing_normal,4,18
tt0056923,sexual,kissing_passion,9,48
tt0056923,drugs,drugs_legal,14,54
tt0056923,drugs,drugs_implied,7,42
tt0056923,other,bodily_functions,1,0
tt0057012,language,profanity,14,24
tt0057012,language,blasphemy,3,6
tt0057012,language,sexual_reference,16,90
tt0057012,language,childish_language,16,42
tt0057012,language,racial_slurs,17,12
tt0057012,violence,non_graphic,15,306
tt0057012,violence,violence_implied,8,414
tt0057012,immodesty,immodesty,2,198
tt0057012,immodesty,nudity_without_sex,1,6
tt0057012,sexual,sexually_suggestive,1,12
tt0057012,drugs,drugs_legal,55,984
tt0057012,drugs,drugs_implied,4,6
tt0057012,other,objectionable,2,0
tt0058150,language,profanity,11,12
tt0058150,language,blasphemy,2,6
tt0058150,language,sexual_reference,36,138
tt0058150,language,racial_slurs,1,6
tt0058150,violence,non_graphic,34,378
tt0058150,violence,graphic,16,252
tt0058150,violence,disturbing_images,17,246
tt0058150,violence,violence_implied,4,36
tt0058150,immodesty,immodesty,45,732
tt0058150,immodesty,nudity_without_sex,2,42
tt0058150,immodesty,nudity_art,4,6
