imdb_id,name,title_main,title_subscript,year,mpaa_rating,duration_sec,studio
tt11274492,The Out-Laws,The Out-Laws,,2023,R,5700,Happy Madison Productions
tt12263384,Extraction 2,Extraction 2,,2023,R,7380,Filmhaus Films|AGBO
tt16419074,Air,Air,,2023,R,6720,Mandalay Pictures|Amazon Studios|Skydance Sports|Artists Equity
tt14400246,Bird Box Barcelona,Bird Box Barcelona,,2023,TV-MA,7440,Nostromo Pictures|Bluegrass Films|Chris Morgan Productions|Dylan Clark Productions
tt1745960,Top Gun: Maverick,Top Gun: Maverick,,2022,PG-13,7860,Paramount|Jerry Bruckheimer Films|Don Simpson/Jerry Bruckheimer Films|TC Productions|Tencent Pictures|Skydance Media
tt2119532,Hacksaw Ridge,Hacksaw Ridge,,2016,R,8340,Summit Entertainment
tt8936646,Extraction,Extraction,,2020,R,6960,India Take One Productions|T.G.I.M. Films|AGBO|Thematic Entertainment
tt0094226,The Untouchables,The Untouchables,,1987,R,7140,Paramount Pictures
tt7888964,Nobody,Nobody,,2021,R,5520,Universal Pictures|Odenkirk Provissiero Entertainment|87North Productions|Eighty Two Films|Perfect World Pictures
tt4873118,Guy Ritchie's The Covenant,Guy Ritchie's The Covenant,,2023,R,7380,Toff Guy Films|STX Films
tt0119654,Men in Black,Men in Black,,1997,PG-13,5880,Sony Pictures
tt3915174,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,,2022,PG,6180,Universal Pictures|DreamWorks Animation
tt2798920,Annihilation,Annihilation,,2018,R,6900,Paramount
tt0120382,The Truman Show,The Truman Show,,1998,PG,6180,Paramount Pictures
tt0172495,Gladiator,Gladiator,,2000,R,9300,DreamWorks
tt9340860,Let Him Go,Let Him Go,,2020,R,6840,Focus Features|Mazur / Kaplan Company
tt2737304,Bird Box,Bird Box,,2018,R,7440,Universal Pictures|Bluegrass Films|Chris Morgan Productions
tt1139328,The Ghost Writer,The Ghost Writer,,2010,PG-13,7680,R.P. Productions
tt1408253,Ride Along,Ride Along,,2014,PG-13,5978,Universal
tt0477348,No Country for Old Men,No Country for Old Men,,2007,R,7320,Paramount
tt0862846,Sunshine Cleaning,Sunshine Cleaning,,2008,R,5460,Overture Films
tt4912910,Mission: Impossible - Fallout,Mission: Impossible - Fallout,,2018,PG-13,8820,Paramount|Bad Robot|TC Productions|Alibaba Pictures Group|Skydance Media
tt0088763,Back to the Future,Back to the Future,,1985,PG,6960,Universal
tt8760708,M3GAN,M3GAN,,2022,PG-13,6120,Universal Pictures|Blumhouse Productions|Atomic Monster|Divide / Conquer
tt10696896,Stillwater,Stillwater,,2021,R,8340,DreamWorks Pictures|Participant|Anonymous Content|Amblin Partners|3dot Productions|Slow Pony Pictures
tt0117060,Mission: Impossible,Mission: Impossible,,1996,PG-13,6600,Paramount Pictures
tt2381249,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,,2015,PG-13,7860,Paramount Pictures
tt2024432,Identity Thief,Identity Thief,,2013,R,6660,Universal
tt0120815,Saving Private Ryan,Saving Private Ryan,,1998,R,10140,Paramount Pictures
tt1464335,Uncharted,Uncharted,,2022,PG-13,6960,Columbia Pictures|Atlas Entertainment|Arad Productions|PlayStation Productions
tt1478338,Bridesmaids,Bridesmaids,,2011,R,7500,Universal
tt6968614,The Mother,The Mother,,2023,R,6900,Vertigo Entertainment|Nuyorican Productions
tt5090568,Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,,2023,PG-13,7620,Paramount|di Bonaventura Pictures|Hasbro|Bay Films|Tom DeSanto/Don Murphy Production|Skydance|New Republic Pictures
tt5884796,Plane,Plane,,2023,R,6420,Di Bonaventura Pictures|MadRiver Pictures|Riverstone Pictures|G-BASE|Olive Hill Media
tt9873892,They Cloned Tyrone,They Cloned Tyrone,,2023,R,7320,MACRO|Made With Love Media
tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,,2014,PG-13,9900,Paramount Pictures
tt1599348,Safe House,Safe House,,2012,R,6900,Universal
tt0116483,Happy Gilmore,Happy Gilmore,,1996,PG-13,5520,Universal
tt0098554,Uncle Buck,Uncle Buck,,1989,PG,6000,Universal
tt1229238,Mission: Impossible IV: Ghost Protocol,Mission: Impossible IV,Ghost Protocol,2011,PG-13,7980,Paramount Pictures
tt18079362,80 for Brady,80 for Brady,,2023,PG-13,5880,Paramount|Tempesta Films|CJ Entertainment|Watch This Ready|199 Productions|Fifth Season
tt0120912,Men in Black II,Men in Black II,,2002,PG-13,5280,Sony Pictures
tt3181776,Momentum,Momentum,,2015,R,5760,Thaba Media
tt1409024,Men in Black 3,Men in Black 3,,2012,PG-13,6360,Sony Pictures
tt0317919,Mission: Impossible III,Mission: Impossible III,,2006,PG-13,7560,Paramount Pictures
tt1386588,The Other Guys,The Other Guys,,2010,PG-13,6420,Sony Pictures
tt11145118,Creed III,Creed III,,2023,PG-13,6960,Metro-Goldwyn-Mayer|Chartoff-Winkler Productions|Outlier Society Productions|Proximity Media|Balboa Productions
tt12593682,Bullet Train,Bullet Train,,2022,R,7560,Columbia Pictures|87North Productions
tt0431197,The Kingdom,The Kingdom,,2007,R,6600,Universal
tt8041270,Jurassic World Dominion,Jurassic World Dominion,,2022,PG-13,8820,Universal Pictures|Amblin Entertainment
tt0119528,Liar Liar,Liar Liar,,1997,PG-13,5160,Universal
tt0120755,Mission: Impossible II,Mission: Impossible II,,2000,PG-13,7380,Paramount Pictures
tt1649418,The Gray Man,The Gray Man,,2022,PG-13,7680,Stillking Films|Roth-Kirschenbaum Films|AGBO
tt2140379,Self/less,Self/less,,2015,PG-13,7020,Focus Features
tt2283362,Jumanji,Jumanji,,2017,PG-13,7140,Radar Pictures Inc.
tt10366206,John Wick: Chapter 4,John Wick: Chapter 4,,2023,R,10200,Studio Babelsberg|Summit Entertainment|Lionsgate|Thunder Road|87Eleven
tt2368619,Bastille Day: The Take,Bastille Day,The Take,2016,R,5520,StudioCanal
tt12758060,Tetris,Tetris,,2023,R,7080,Marv Films|AI Film|Unigram|Apple Studios
tt0381849,3:10 to Yuma,3:10 to Yuma,,2007,R,7320,Lions Gate Entertainment
tt7405458,A Man Called Otto,A Man Called Otto,,2022,PG-13,7560,Columbia Pictures|Playtone|SF Studios|Stage 6 Films|STX Entertainment|2DUX²|Artistic Films
tt2334879,White House Down,White House Down,,2013,PG-13,7860,Columbia Pictures
tt0995039,Ghost Town,Ghost Town,,2008,PG-13,6120,Paramount Pictures
tt4364194,The Peanut Butter Falcon,The Peanut Butter Falcon,,2019,PG-13,5820,Armory Films|Nut Bucket Films|Tvacom Film and TV|Lucky Treehouse
tt2271563,Forsaken,Forsaken,,2015,R,5400,Entertainment One
tt0087538,The Karate Kid,The Karate Kid,,1984,PG,7560,Sony Pictures
tt14109724,Ticket to Paradise,Ticket to Paradise,,2022,PG-13,6240,Smoke House Pictures|Red Om Films|Working Title Films|Fin Design & Effects
tt0096874,Back to the Future Part II,Back to the Future Part II,,1989,PG,6480,Universal
tt1045658,Silver Linings Playbook,Silver Linings Playbook,,2012,R,7320,The Weinstein Company
tt13320622,The Lost City,The Lost City,,2022,PG-13,6720,Paramount|Fortis Films|Exhibit A Film|3dot Productions
tt0109444,Clear and Present Danger,Clear and Present Danger,,1994,PG-13,8460,Paramount Pictures
tt7975244,Jumanji: The Next Level,Jumanji: The Next Level,,2019,PG-13,7380,Columbia Pictures|Sony Pictures|Teitler Film|HartBeat Productions|Matt Tolmach Productions|Seven Bucks Productions
tt7040874,A Simple Favor,A Simple Favor,,2018,R,7020,Lionsgate|Bron Studios|Feigco Entertainment
tt0105112,Patriot Games,Patriot Games,,1992,R,7020,Paramount Pictures
tt0361748,Inglourious Basterds,Inglourious Basterds,,2009,R,9180,Universal
tt2906216,Dungeons & Dragons: Honor Among Thieves,Dungeons & Dragons: Honor Among Thieves,,2023,PG-13,8040,Paramount|Entertainment One|Sierra/Affinity|Allspark Pictures
tt6710474,Everything Everywhere All at Once,Everything Everywhere All at Once,,2022,R,8400,A24|AGBO|Ley Line Entertainment|Year of the Rat Productions|Hotdog Hands LLC
tt0103064,Terminator 2: Judgment Day,Terminator 2,Judgment Day,1991,R,8220,Lions Gate Entertainment
tt0164184,The Sum of All Fears,The Sum of All Fears,,2002,PG-13,7440,Paramount Pictures
tt2463208,The Adam Project,The Adam Project,,2022,PG-13,6360,21 Laps Entertainment|Skydance Media|Maximum Effort
tt15326988,Ghosted,Ghosted,,2023,PG-13,7200,Apple|Skydance Media
tt3499096,Race,Race,,2016,PG-13,8062,Focus Features
tt10954984,Nope,Nope,,2022,R,7800,Universal Pictures|dentsu|Monkeypaw Productions
tt0091326,"The Karate Kid, Part II","The Karate Kid, Part II",,1986,PG,6780,Sony Pictures
tt0088847,The Breakfast Club,The Breakfast Club,,1985,R,5880,Universal
tt9686790,Shotgun Wedding,Shotgun Wedding,,2022,R,6060,Nuyorican Productions|Lionsgate|Mandeville Films|Maximum Effort
tt14537248,Nefarious,Nefarious,,2023,R,5880,Believe Entertainment|Soli Deo Gloria Releasing
tt3300542,London Has Fallen,London Has Fallen,,2016,R,5940,Focus Features
tt14209916,Cocaine Bear,Cocaine Bear,,2023,R,5760,Universal Pictures|Brownstone Productions|Lord Miller
tt7991608,Red Notice,Red Notice,,2021,PG-13,7080,Legendary Pictures
tt0427229,Failure to Launch,Failure to Launch,,2006,PG-13,5820,Failure to Launch Productions
tt0947810,Green Zone,Green Zone,,2010,R,6900,Universal
tt0317740,The Italian Job,The Italian Job,,2003,PG-13,6600,Paramount Pictures
tt15255288,Murder Mystery 2,Murder Mystery 2,,2023,PG-13,5460,Happy Madison Productions|Endgame Entertainment|Echo Films|Vinson Films
tt0099088,Back to the Future Part III,Back to the Future Part III,,1990,PG,7140,Universal
tt3111426,Lost Girls,Lost Girls,,2020,R,5700,Archer Gray|Langley Park Productions
tt9411972,Where the Crawdads Sing,Where the Crawdads Sing,,2022,PG-13,7500,Columbia Pictures|TSG Entertainment|Hello Sunshine|3000 Pictures
tt4560436,Mile 22,Mile 22,,2018,R,5700,Closest to the Hole Productions|Film 44|STX Entertainment|The Hideaway Entertainment
tt0112508,Billy Madison,Billy Madison,,1995,PG-13,5400,Universal
tt1440129,Battleship,Battleship,,2012,PG-13,7860,Universal
tt3155298,Luther: The Fallen Sun,Luther: The Fallen Sun,,2023,R,7740,BBC Film|Chernin Entertainment|BBC Studios
tt0377092,Mean Girls,Mean Girls,,2004,PG-13,5820,Paramount Pictures
tt0796366,Star Trek,Star Trek,,2009,PG-13,7620,Paramount Pictures
tt1504320,The King's Speech,The King's Speech,,2010,R,7080,The Weinstein Company
tt1809398,Unbroken,Unbroken,,2014,PG-13,8220,Universal
tt2911666,John Wick,John Wick,,2014,R,6060,Lions Gate Entertainment
tt12412888,Sonic the Hedgehog 2,Sonic the Hedgehog 2,,2022,PG,7380,Paramount|Original Film|Blur Studio|Marza Animation Planet
tt9051908,Living,Living,,2022,PG-13,6120,Kurosawa Production|Film i Väst|Film4 Productions|Lipsync Productions|Number 9 Films|Filmgate Films|RocketScience|County Hall Arts|Woolley/Karlsen Productions
tt1638002,"Love, Rosie","Love, Rosie",,2014,R,6120,Lions Gate Entertainment
tt1205537,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,,2014,PG-13,6300,Paramount Pictures
tt0425112,Hot Fuzz,Hot Fuzz,,2007,R,7260,Universal
tt0145487,Spider-Man,Spider-Man,,2002,PG-13,7260,Sony Pictures
tt0457510,Nacho Libre,Nacho Libre,,2006,PG,5520,Paramount Pictures
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,,2006,PG-13,6480,Sony Pictures
tt8579674,1917,1917,,2019,R,7140,Dreamworks Pictures
tt0418279,Transformers,Transformers,,2007,PG-13,8580,Paramount Pictures
tt0448694,Puss in Boots,Puss in Boots,,2011,PG,5400,DreamWorks
tt0110322,Legends of the Fall,Legends of the Fall,,1994,R,7980,Sony Pictures
tt1099212,Twilight,Twilight,,2008,PG-13,7320,Summit Entertainment
tt8080204,Hypnotic,Hypnotic,,2023,R,5640,Ingenious Media|Solstice Productions|Studio 8|Double R Productions
tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home,,2021,PG-13,8880,Columbia Pictures
tt1618434,Murder Mystery,Murder Mystery,,2019,PG-13,5820,Endgame Entertainment|Vinson Films|Netflix|Tower Hill Entertainment
tt8242084,My Spy,My Spy,,2020,PG-13,6120,STX Entertainment
tt0384642,Kicking & Screaming,Kicking & Screaming,,2005,PG,5700,Universal
tt1567609,Get the Gringo,Get the Gringo,,2012,R,5760,Icon Productions
tt1972571,A Most Wanted Man,A Most Wanted Man,,2014,R,7260,Lions Gate Entertainment
tt19853258,STILL: A Michael J. Fox Movie,STILL: A Michael J. Fox Movie,,2023,R,5700,Concordia Studio
tt0092099,Top Gun,Top Gun,,1986,PG,6600,Paramount Pictures
tt1764183,Arbitrage,Arbitrage,,2012,R,6000,Lucky Monkey Pictures
tt0183790,A Knight's Tale,A Knight's Tale,,2001,PG-13,7920,Sony Pictures
